row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,claim,closing_document,input_row_ids,org_id,verdict
V-CAIS-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/881751310.json,2026-09-14,"{""name"":""Center For Artificial Intelligence Safety Inc"",""ein"":881751310,""subsection_code"":3,""ruling_date"":""2023-01-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-CAIS,CAIS,KEEP
V-CAIS-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,"1,050,540",KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,,G-205205488-202543149349305759-540;G-205205488-202413129349304911-518;G-232888152-202621329349306657-3987;G-232888152-202511349349313096-3426;G-237825575-202431429349301368-2229;G-461008520-202501349349105365-237;G-461008520-202441369349105564-27;G-461008520-202441369349105564-28,CAIS,KEEP
V-CAIS-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/881751310.json,2026-09-14,"{""name"":""Center For Artificial Intelligence Safety Inc"",""ein"":881751310,""subsection_code"":3,""ruling_date"":""2023-01-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-CAIS,CAIS,OPEN
V-CAIS-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,"1,050,540",KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,,G-205205488-202543149349305759-540;G-205205488-202413129349304911-518;G-232888152-202621329349306657-3987;G-232888152-202511349349313096-3426;G-237825575-202431429349301368-2229,CAIS,KEEP
V-CAIS-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/881751310.json,2026-09-14,"{""name"":""Center For Artificial Intelligence Safety Inc"",""ein"":881751310,""subsection_code"":3,""ruling_date"":""2023-01-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-CAIS;DP-CAIS,CAIS,OPEN
V-CAISAF-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/932442608.json,2026-09-14,"{""name"":""Center For Ai Safety Action Fund Inc"",""ein"":932442608,""subsection_code"":4,""ruling_date"":""2023-10-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-CAISAF,CAISAF,KEEP
V-CAISAF-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-CAISAF,CAISAF,OPEN
V-CAISAF-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/932442608.json,2026-09-14,"{""name"":""Center For Ai Safety Action Fund Inc"",""ein"":932442608,""subsection_code"":4,""ruling_date"":""2023-10-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-CAISAF,CAISAF,OPEN
V-CAISAF-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-CAISAF,CAISAF,OPEN
V-CAISAF-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/932442608.json,2026-09-14,"{""name"":""Center For Ai Safety Action Fund Inc"",""ein"":932442608,""subsection_code"":4,""ruling_date"":""2023-10-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-CAISAF;DP-CAISAF,CAISAF,OPEN
