row_id,date,fact_type,subject,detail,amount_usd,source_url,quote,notes
RW01,2021-11-22,grant,Coefficient Giving (then Open Philanthropy) -> Redwood Research,General Support; focus area Navigating Transformative AI; local index post_id 8214 (index URL now 301s to Coefficient funds page),9420000,https://coefficientgiving.org/grants/redwood-research-general-support/,title: General Support; award_date 2021-11-22; organization_name Redwood Research,
RW02,2022-08-04,grant,Coefficient Giving (then Open Philanthropy) -> Redwood Research,General Support; post_id 11418; index URL 301s,10700000,https://coefficientgiving.org/grants/redwood-research-general-support-2/,title: General Support; award_date 2022-08-04,
RW03,2023-06-06,grant,Coefficient Giving (then Open Philanthropy) -> Redwood Research,General Support; post_id 15567; index URL 301s,5300000,https://coefficientgiving.org/grants/redwood-research-general-support-2023/,title: General Support; award_date 2023-06-06,
RW04,2025-05-18,grant,Coefficient Giving -> Redwood Research,AI Safety Research Collaborations; post_id 29007; index URL 301s,1100000,https://coefficientgiving.org/grants/ai-safety-research-collaborations/,title: AI Safety Research Collaborations; award_date 2025-05-18,
RW05,2025-11-18,grant,Coefficient Giving -> Redwood Research,"General Support; post_id 37058; largest single grant; index URL 301s. Five Coefficient grants total $63,086,000",36566000,https://coefficientgiving.org/grants/general-support-40/,title: General Support; award_date 2025-11-18,
RW06,2022-H1,recommendation,Survival and Flourishing Fund (funder Jaan Tallinn) -> Redwood Research Group Inc,"SFF-2022-H1 S-Process recommendation, general support; Tallinn ledger shows $1,274,000 disbursed 2022-06-16 via FP-US",1274000,https://survivalandflourishing.fund/2022/h1/recommendations,"Jaan Tallinn | $1,274,000 | Redwood Research Group Inc. | General support",
RW07,2023-H1,recommendation,Survival and Flourishing Fund (funder Jaan Tallinn) -> Redwood Research Group Inc,"SFF-2023-H1 S-Process recommendation, General Support; Tallinn ledger shows only $598,000 disbursed 2023-06-15 via FP-US. No Redwood rows in 2021-H2, 2022-H2, 2023-H2, 2024 or 2025 rounds",1098000,https://survivalandflourishing.fund/2023/h1/recommendations,"Jaan Tallinn | $1,098,000 | Redwood Research Group Inc. | General Support",
RW08,2021-11-12,grant,Jaan Tallinn (via FP-US) -> Redwood Research,Direct Tallinn donation per his public ledger; not an SFF round row (2021-H2 page has no Redwood entry); local copy tallinn-donations-ledger-2026-09-13.csv,1330000,https://jaan.info/philanthropy/,"2021-11-12,FP-US,USD,1,330,000,Redwood Research,General support",
RW09,2021-06,board,Nate (Nathaniel) Thomas,"Co-founder; CEO/President 2021-2022 (990 TY2021-22); Director and Board Chair from 2023 (990 TY2023-24, $183,333 in 2023, $0 in 2024); listed on redwoodresearch.org/team board. Prior: Physics PhD",,https://www.redwoodresearch.org/team;https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413209349327491_public.xml;https://www.lesswrong.com/posts/SuZ6Guuos7CjfwRQb/critiques-of-prominent-ai-safety-labs-redwood-research,CEO Nate Thomas has a Physics PhD and published some papers on ML during his PhD,
RW10,2021-06,board,Buck (Michael) Shlegeris,"Co-founder; CTO 2021-2022, CEO and Director from 2023 (990: $272,175 TY2023, $272,164 TY2024); on board per team page. Prior: MIRI researcher ~2 yrs, App Academy bootcamp",,https://www.redwoodresearch.org/team;https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503199349302920_public.xml;https://www.lesswrong.com/posts/SuZ6Guuos7CjfwRQb/critiques-of-prominent-ai-safety-labs-redwood-research,CTO Buck Shlegeris ... also worked as a researcher at MIRI for two years,
RW11,2021-12,staff,Ryan Greenblatt,"Chief Scientist (990 TY2024 $314,922; MTS TY2022-23); joined Dec 2021 per Redwood podcast; lead on alignment-faking paper and the METR/OpenAI HF investigation. Prior employer not stated on org pages",,https://www.redwoodresearch.org/team;https://blog.redwoodresearch.org/p/the-inaugural-redwood-research-podcast;https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503199349302920_public.xml,I started doing stuff at Redwood around December 2021,
RW12,2024,board,Ammon Bartram,"Director (990 TY2024, 2 hrs/wk, $0); listed on redwoodresearch.org/team board. Prior: co-founder/CEO Triplebyte (YC S15), co-founder Socialcam, Justin.tv",,https://www.redwoodresearch.org/team;https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503199349302920_public.xml;https://nocap.blog/founder/ammon-bartram/,"Co-founded Triplebyte ... Served as CEO of Triplebyte, scaling to 70 employees before its acquisition",
RW13,2021-07,board,Paul Christiano,"Secretary/director from founding (990 TY2021-22) through 6/2023 (990 TY2023 ""DIRECTOR (THRU 6/23)""); proposed one of Redwood's original projects. Also ARC founder / METR technical advisor and board member (board.csv B11)",,https://forum.effectivealtruism.org/posts/JZqbNjtAqieivTG7Q/redwood-research-is-hiring-for-several-roles;https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413209349327491_public.xml,"our board is Holden Karnofsky, Paul Christiano, and Nate Thomas",
