row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,amount_operator,company_number,currency,declared_funders,ein,money_type,org_id,source_file,verdict
D-CG-ROUTES,,https://coefficientgiving.org/governance/,2026-09-14,donor-advised funds,The governance page explicitly lists donor-advised funds among its awarding entities. Its grant index is not a single payer’s cash ledger.,,,,,,,,sources/coefficient-governance.html,KEEP
D-PROGRESS,,https://progresschamber.org/partners/,2026-09-14,Our work is supported by our corporate partners,"Company support is self-disclosed. The captured partner page lists Amazon, Google, OpenAI and other companies; it does not give per-partner payment amounts.",,,,Amazon;Google;OpenAI;Apple;a16z;other listed corporate partners,,,PROGRESS,sources/progress-partners.html,KEEP
D-ITIF,10000,https://itif.org/our-supporters/,2026-09-14,"Supporters contributing more than $10,000 in the past fiscal year include:","Threshold disclosure, not an exact contribution amount. It includes Alphabet, Amazon, Anthropic, Meta and Microsoft. The page does not define an end date for “past fiscal year”; do not assign it to a particular year.",greater_than,,USD,Alphabet;Amazon;Anthropic;Meta;Microsoft;other listed supporters,,disclosure_threshold,ITIF,sources/itif-supporters.html,KEEP
D-ENCODE-EMPLOYEES,,https://encodeai.org/donation/,2026-09-14,We have received donations from rank-and-file employees at all of the frontier AI companies,"This confirms the organization’s own statement, not employee names or amounts. No motive clause is reproduced.",,,,Rank-and-file frontier-lab employees;Heising-Simons Foundation;Survival and Flourishing Fund;Responsible Technology Youth Power Fund;Archewell Foundation;We Are Family Foundation;Future of Life Institute;America’s Promise Alliance,,,ENCODE,sources/encode-donation.html,KEEP
D-ENCODE-ARMS,,https://encodeai.org/privacy-policy/,2026-09-14,Encode AI operates through two affiliated entities:,Own legal notice identifies the corporation and research foundation as affiliated. Retain as separate entities; no consolidated revenue invented.,,,,,,,ENCODE,sources/encode-privacy.html,KEEP
D-AIPI-AIPN,,https://theaipi.org/about/,2026-09-14,He separately is the founder and executive director of the AI Policy Network,AIPI describes its director’s separate role at AIPN. The organizations must not be merged.,,,,,,,AIPI,sources/aipi-about.html,KEEP
D-FLI,,https://futureoflife.org/about-us/funding/,2026-09-14,"Vitalik Buterin, our largest donor by far",Self-disclosed donor ranking without an amount or defined period; do not turn “largest” into a percentage.,,,,Vitalik Buterin;Jaan Tallinn;Elon Musk (historical seed funding);Erik Otto,,,FLI,sources/fli-funding.html,KEEP
D-HORIZON,,https://horizonpublicservice.org/about-us/,2026-09-14,no foundation or donor provides a majority of our funding.,Self-disclosed present funding description; page gives no denominator or covered fiscal period. Do not apply it retrospectively to early returns.,,,,Helena;Renaissance Philanthropy;Maurice Amado Foundation;Policy Entrepreneurs Network;Lonsdale Family Philanthropic Fund;Coefficient Giving;Navigation Fund;Packard Foundation;Fulcrum Science;Food Systems Innovation;John Quincy Adams Society;Sentinel Bio,,,HORIZON,sources/horizon-about.html,KEEP
D-IAPS,,https://www.iaps.ai/governance-history-independence-funding,2026-09-14,"including support to date from Coefficient Giving, Hewlett Foundation, Longview, Macroscopic Ventures, the Survival and Flourishing Fund, allied government, and individual donors",Self-disclosed sources; no donor-by-period amounts supplied.,,,,Coefficient Giving;Hewlett Foundation;Longview;Macroscopic Ventures;Survival and Flourishing Fund;allied government;individual donors,,,IAPS,sources/iaps-funding.html,KEEP
D-ARI,,https://ari.us/about/,2026-09-14,"Inclusive Abundance Action, Omidyar Network, and Coefficient Giving",Self-disclosed institutional supporters. The page also names individual supporters; it supplies no per-donor dollar amounts.,,,,Inclusive Abundance Action;Omidyar Network;Coefficient Giving;Brad Carson and Julie Carson;Eric Gastfriend and Caroline Mehl;Steve Newman,,,ARI,sources/ari-about.html,KEEP
D-CONTROL-UK,,https://controlai.org/about,2026-09-14,"In the UK, we are a not-for-profit company limited by guarantee.",Corroborated as company form in the current Companies House record. Charity tax status is not established by incorporation.,,,,,,,CONTROL,sources/controlai-about.html,KEEP
D-CONTROL-US,,https://controlai.org/about,2026-09-14,"In the US, we are a 501(c)(4) social welfare organization.",Self-description; separate US EIN and determination letter remain unverified. UK financials are not a US-arm budget.,,,,,,,CONTROL,sources/controlai-about.html,OPEN
D-CONTROL-NO-PL,,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzQ2NzM5NjgxOWFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,the directors have not delivered to the registrar a copy of the Income and Expenditure Account.,Bounded absence: these filed accounts omit an income-and-expenditure account. Balance-sheet assets cannot substitute for revenue.,,,,,,,CONTROL,sources/controlai-accounts-2024.xhtml,KEEP
D-CONTROL-NAME,,https://find-and-update.company-information.service.gov.uk/company/15088415,2026-09-14,SECURE FUTURE RESEARCH LTD,"Current Companies House record gives the previous name, current company form, and active status.",,15088415,,,,,CONTROL,sources/controlai-registry.html,KEEP
D-SVCF-EIN,,https://www.svcf.org/about,2026-09-14,20-5205488,Correct SVCF identifier. The identifier supplied in the brief does not match this primary self-disclosure.,,,,,205205488,,,sources/svcf-about.html,KEEP
