row_id,donor,gives_to_metr,gives_to_or_invests_in_lab,lab_source_url,metr_source_url,notes
J01,Jane Street (individuals),"yes: ""individuals from Jane Street""","Jane Street (firm): Anthropic Series E 2025-03 (participant), Series F 2025-09 (participant), FTX-estate secondary 2024-03 $100M / 3.3M shares",/mnt/f/projects/memes/anthropic-investors/research/01-funding-rounds.csv,https://metr.org/about,"METR names individuals, not the firm; individual names and amounts not public; firm-level investments are not the same persons necessarily"
J02,James McClave / BEMC Foundation (EIN 85-4281986),no: not named on metr.org/about; BEMC 990-PF FY2020-2024 grants go only to Vox Media Future Perfect and GiveWell,"Anthropic Series A 2021 and Series B 2022 investor (James McClave, ""of Jane Street"")",/mnt/f/projects/memes/anthropic-investors/research/01-funding-rounds.csv,https://projects.propublica.org/nonprofits/organizations/854281986,"BEMC 990-PF officers: James McClave (Pres/Director/Treasurer) and Emily Berger (Director/Secretary); ""Rob Berger"" not found on any BEMC filing; no METR or ARC grant in any BEMC 990-PF (XMLs 202210469349100116, 202323199349109357, 202333199349106948, 202403209349103005, 202523219349100137)"
J03,Foundation 990 grantors naming METR/ARC (ProPublica full-text),"yes (Schedule I listings): Founders Pledge 2024, SVCF 2024, Vanguard Charitable 2025 name METR; EV USA 2023 ($1.5M), Founders Pledge, Every.org, SVCF, Vanguard, Fidelity Charitable, American Endowment Foundation name ARC","indirect matching evidence: Founders Pledge grants match Jaan Tallinn's ledger; SVCF FY2024 grant to ARC is $50,450 versus $50,000 in Tallinn's ledger (M82), while the $20,000 METR grant matches (M83). These similarities do not independently disclose the DAF principal; Vanguard Charitable, Effective Ventures, Every.org, AEF and Fidelity Charitable principals remain undisclosed.",https://projects.propublica.org/nonprofits/full_text_search?q=%22Model+Evaluation+and+Threat+Research%22,https://projects.propublica.org/nonprofits/full_text_search?q=%22Alignment+Research+Center%22,"search q=""Model Evaluation and Threat Research"" returned 8 filings (7 for 2024, 1 for 2025); q=""Alignment Research Center"" returned ~24; underlying donors behind DAF grants are not disclosed | ledger match rows M77–M80, M82–M83 | audit-2 2026-09-14: was {""gives_to_or_invests_in_lab"": ""indirect: the Founders Pledge (2022–24, $4.36M to ARC/METR) and SVCF (2024, $70K) grants match Jaan Tallinn's ledger to the dollar, so they are an Anthropic Series B investor's money; Vanguard Charitable $4.0M, Effective Ventures, Every.org, AEF and Fidelity Charitable donors are not identifiable""}. See research/AUDIT-2.md and audit2-evidence/."
J04,Dylan Field (Figma),yes: named on metr.org/about and funding update,no direct frontier-lab investment or board role found in exact-name targeted searches; Figma is an Anthropic commercial customer rather than an identified investor,https://www.hustlefund.vc/post/angel-squad-dylan-field-investments-the-thiel-fellow-who-built-figma-from-a-dorm-room-idea-to-a-68-billion-ipo,https://metr.org/about,"audit 2026-09-14: was 'no Anthropic/OpenAI investment found in fetched sources'; exact-name investment/board searches found no direct tie, but public investor lists can omit unnamed positions."
J05,Steve Newman,yes: named on metr.org/about and funding update,no direct frontier-lab investment or board role found; board member of evaluator Epoch AI,https://secondthoughts.ai/about;research/evaluators/epoch-team.html,https://metr.org/about,"audit 2026-09-14: was 'no lab tie found; chairman and president of the Golden Gate Institute for AI; Writely/Google Docs and Scalyr founder'; exact-name lab-tie searches found no direct frontier-lab tie, but Epoch AI's team page identifies him as a board member."
J06,Geoff Ralston,yes: named on metr.org/about and funding update,no direct frontier-lab investment or board role found; former YC president; launched Safe Artificial Intelligence Fund (SAIF) 2025 writing $100K SAFEs into AI-safety startups,https://thetechportal.com/2025/04/18/y-combinators-geoff-ralston-launches-safe-ai-fund-amid-rising-concerns-over-ai-safety/,https://metr.org/about,audit 2026-09-14: exact-name investment/board searches found no direct frontier-lab tie; public investor lists can omit unnamed positions.
J07,David Farhi,yes: named on metr.org/about and funding update,historical OpenAI affiliation on July 2025 paper; WIRED reported on 2026-07-15 that Farhi left OpenAI in summer 2025. A still-live CHM title is not proof of 2026 employment.,https://arxiv.org/html/2507.11473v1;https://www.wired.com/story/openai-employees-donations-guardrails-alliance-leading-the-future/,https://metr.org/about,"METR states it cannot accept donations made by or at the direction of frontier AI company employees; whether Farhi's gift predates OpenAI employment or he has since left is not established in fetched sources; flag for follow-up, do not assert a conflict | audit-2 2026-09-14: was {""gives_to_or_invests_in_lab"": ""listed with affiliation OpenAI as co-author of arXiv 2507.11473 (Chain of Thought Monitorability, July 2025)"", ""lab_source_url"": ""https://arxiv.org/html/2507.11473v1""}. See research/AUDIT-2.md and audit2-evidence/."
J08,Schmidt Sciences / Eric Schmidt,yes: named on metr.org/about and funding update,Eric Schmidt: Anthropic Series A 2021 investor (amount not disclosed),/mnt/f/projects/memes/anthropic-investors/research/01-funding-rounds.csv,https://metr.org/about,"Schmidt Sciences grant amount to METR undisclosed; local pack 12-other-funders-events.csv has Schmidt AI2050 $125M and AI Safety Science $10M programs, neither names METR"
J09,David and Lucile Packard Foundation,yes: named on metr.org/about,no direct frontier-lab investment or board role found in exact-name targeted searches,https://metr.org/about,https://metr.org/about,audit 2026-09-14: was 'no lab tie found'; public investment holdings and unnamed positions are not fully observable; METR grant amount is undisclosed.
J10,The Pew Charitable Trusts,yes: named on metr.org/about,no direct frontier-lab investment or board role found in exact-name targeted searches,https://metr.org/about,https://metr.org/about,audit 2026-09-14: was 'no lab tie found'; public investment holdings and unnamed positions are not fully observable; METR grant amount is undisclosed.
J11,Sijbrandij Foundation / Sid Sijbrandij (GitLab),yes: named on metr.org/about and funding update,no direct frontier-lab investment or board role found in exact-name targeted searches,https://sijbrandijfoundation.org/,https://metr.org/about,"audit 2026-09-14: was 'no Anthropic/OpenAI investment found (CB Insights via search: 6 angel investments, latest Fleet Series B 2025-06; not in Anthropic investor lists)'; public investor lists can omit unnamed positions; foundation site does not list METR grant amount."
