row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,document_name,org_id,search_scope,source_file
PAGE-CAIS-cais-faq,,https://safe.ai/faq,2026-09-14,"Frequently Asked Questions | CAIS Work Work Overview Research, field-building, and advocacy projects to reduce AI risk Research Field-buildi",This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,cais-faq.html,CAIS,public page snapshot,sources/cais-faq.html
PAGE-CAISAF-cais-faq,,https://safe.ai/faq,2026-09-14,"Frequently Asked Questions | CAIS Work Work Overview Research, field-building, and advocacy projects to reduce AI risk Research Field-buildi",This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,cais-faq.html,CAISAF,public page snapshot,sources/cais-faq.html
PAGE-AIPI-aipi-about,,https://theaipi.org/about/,2026-09-14,About - AI Policy Institute Skip to content About Media Contact Donate About Media Contact Donate Our Mission The Artificial Intelligence Po,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,aipi-about.html,AIPI,public page snapshot,sources/aipi-about.html
PAGE-AIPI-aipi-donate,,https://theaipi.org/donate/,2026-09-14,Donate - AI Policy Institute Skip to content About Media Contact Donate About Media Contact Donate Support Independent Research on AI's Most,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,aipi-donate.html,AIPI,public page snapshot,sources/aipi-donate.html
PAGE-AIPN-aipn-home,,https://theaipn.org/,2026-09-14,Homepage - The AI Policy Network Skip to content About About AIPN Careers News & Updates Resources The Issue Reading List Congress on Superi,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,aipn-home.html,AIPN,public page snapshot,sources/aipn-home.html
PAGE-ENCODE-encode-privacy,,https://encodeai.org/privacy-policy/,2026-09-14,Privacy Policy - Encode Skip to main content MENU Who we are Our values and priorities Press Donate Privacy Policy Encode AI Last updated: A,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,encode-privacy.html,ENCODE,public page snapshot,sources/encode-privacy.html
PAGE-ENCODE-encode-donation,,https://encodeai.org/donation/,2026-09-14,Donation - Encode Skip to main content MENU Who we are Our values and priorities Press Donate Donate Your support fuels our work. Encode has,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,encode-donation.html,ENCODE,public page snapshot,sources/encode-donation.html
PAGE-ENCODER-encode-privacy,,https://encodeai.org/privacy-policy/,2026-09-14,Privacy Policy - Encode Skip to main content MENU Who we are Our values and priorities Press Donate Privacy Policy Encode AI Last updated: A,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,encode-privacy.html,ENCODER,public page snapshot,sources/encode-privacy.html
PAGE-ENCODER-encode-donation,,https://encodeai.org/donation/,2026-09-14,Donation - Encode Skip to main content MENU Who we are Our values and priorities Press Donate Donate Your support fuels our work. Encode has,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,encode-donation.html,ENCODER,public page snapshot,sources/encode-donation.html
PAGE-FLI-fli-funding,,https://futureoflife.org/about-us/funding/,2026-09-14,Finances - Future of Life Institute Skip to content Our mission Focus areas Artificial Intelligence Biotechnology Nuclear Weapons Our work O,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,fli-funding.html,FLI,public page snapshot,sources/fli-funding.html
