grantor,grantee,amount_usd_claimed,date_or_year,money_type,claim_source_url,freeze_sentence,row_id
,Model Evaluation and Threat Research,2120000,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription of the Poole graphic dated 14 September 2026 attributes approximately $2,120,000 to METR; grantor, grant date, filing year and money type are unspecified.",PG-METR-1
,Machine Intelligence Research Institute,2800000,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription of the Poole graphic dated 14 September 2026 attributes approximately $2,800,000 to MIRI; grantor, grant date, filing year and money type are unspecified.",PG-MIRI-1
,Center for AI Safety,650000,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription of the Poole graphic dated 14 September 2026 attributes approximately $650,000 to Center for AI Safety (CAIS); grantor, grant date, filing year and money type are unspecified.",PG-CAIS-1
,Center for AI Safety Action Fund,2620000,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription of the Poole graphic dated 14 September 2026 attributes approximately $2,620,000 to CAIS Action Fund; grantor, grant date, filing year and money type are unspecified.",PG-CAISAF-1
,AI Futures Project,2080000,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription of the Poole graphic dated 14 September 2026 attributes approximately $2,080,000 to AI Futures Project; grantor, grant date, filing year and money type are unspecified.",PG-AIFP-1
,AI Policy Institute,2430000,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription of the Poole graphic dated 14 September 2026 attributes approximately $2,430,000 to AI Policy Institute (AIPI); grantor, grant date, filing year and money type are unspecified.",PG-AIPI-1
,Palisade Research,467000,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription of the Poole graphic dated 14 September 2026 attributes approximately $467,000 to Palisade Research; grantor, grant date, filing year and money type are unspecified.",PG-PALISADE-1
,Palisade Research,1150000,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription of the Poole graphic dated 14 September 2026 attributes approximately $1,150,000 to Palisade Research; grantor, grant date, filing year and money type are unspecified.",PG-PALISADE-2
,Encode AI Corporation,526000,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription of the Poole graphic dated 14 September 2026 attributes approximately $526,000 to Encode AI; grantor, grant date, filing year and money type are unspecified.",PG-ENCODE-1
,Institute for AI Policy and Strategy,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Institute for AI Policy and Strategy (IAPS) as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-IAPS-1
,Centre for the Governance of AI,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Centre for the Governance of AI (GovAI) as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-GOVAI-1
,Center for Humane Technology,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Center for Humane Technology (CHT) as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-CHT-1
