name,normalized_name,category,source,graphic_amount_usd_claimed,notes
METR,Model Evaluation and Threat Research,ngo,poole_graphic,2120000,"User transcription only; original graphic unavailable; OCR and exact label unverified. Approximate claimed amount; grantor, date and money type absent from transcription. "
MIRI,Machine Intelligence Research Institute,ngo,poole_graphic,2800000,"User transcription only; original graphic unavailable; OCR and exact label unverified. Approximate claimed amount; grantor, date and money type absent from transcription. "
Center for AI Safety (CAIS),Center for AI Safety,ngo,poole_graphic,650000,"User transcription only; original graphic unavailable; OCR and exact label unverified. Approximate claimed amount; grantor, date and money type absent from transcription. "
CAIS Action Fund,Center for AI Safety Action Fund,ngo,poole_graphic,2620000,"User transcription only; original graphic unavailable; OCR and exact label unverified. Approximate claimed amount; grantor, date and money type absent from transcription. "
AI Futures Project,AI Futures Project,ngo,poole_graphic,2080000,"User transcription only; original graphic unavailable; OCR and exact label unverified. Approximate claimed amount; grantor, date and money type absent from transcription. "
AI Policy Institute (AIPI),AI Policy Institute,ngo,poole_graphic,2430000,"User transcription only; original graphic unavailable; OCR and exact label unverified. Approximate claimed amount; grantor, date and money type absent from transcription. "
Palisade Research,Palisade Research,ngo,poole_graphic,,"User transcription only; original graphic unavailable; OCR and exact label unverified. Two distinct graphic claims: approximately $467,000 and $1,150,000; no combined amount entered. "
Encode AI,Encode AI Corporation,ngo,poole_graphic,526000,"User transcription only; original graphic unavailable; OCR and exact label unverified. Approximate claimed amount; grantor, date and money type absent from transcription. Possible OCR Encide AI. Official cached privacy page names Encode AI Corporation; Encode Justice label and March On Foundation in SFF 2024 retained separately in evidence. "
Institute for AI Policy and Strategy (IAPS),Institute for AI Policy and Strategy,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
Centre for the Governance of AI (GovAI),Centre for the Governance of AI,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
Center for Humane Technology (CHT),Center for Humane Technology,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
Civic AI Security Program (CivAI),Civic AI Security Program,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
PauseAI US,PauseAI US,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
PauseAI Global,PauseAI Global,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
"80,000 Hours","80,000 Hours",ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
Common Sense Media,Common Sense Media,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
Economic Security Project,Economic Security Project,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
Blueprint for Free Speech,Blueprint for Free Speech,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
Young People's Alliance Education Fund,Young People's Alliance Education Fund,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
AI Objectives Institute,AI Objectives Institute,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
Evitable,Evitable,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
Bureau of Investigative Journalism,Bureau of Investigative Journalism,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
Alignment Research Center (ARC),Alignment Research Center,ngo,bass_pack,,
Redwood Research,Redwood Research,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
Constellation,Constellation,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. Ambiguous label; legal entity unresolved. 
Longview Philanthropy,Longview Philanthropy,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
RAND,RAND Corporation,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. Conditional lead in brief; RAND recipient and Canary/Audacious project/initiative are not interchangeable. 
Canary (Audacious),Canary project,ngo,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. Conditional lead in brief; RAND recipient and Canary/Audacious project/initiative are not interchangeable. 
Future of Life Institute,Future of Life Institute,funder,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. 
Survival and Flourishing Fund,Survival and Flourishing Fund,funder,poole_graphic,,User transcription only; original graphic unavailable; OCR and exact label unverified. SFF is a recommendation platform; legal paying vehicle must be established per edge.
